tahun,jenis,perpustakaan,jumlah
2016,Pengunjung,CIKINI,103341
2016,Pengunjung,KUNINGAN,68654
2016,Pengunjung,KPAK Jakpus (Stationary),91807
2016,Pengunjung,KPAK Jakpus (Pusling),64336
2016,Pengunjung,KPAK Jakpus (RPTRA),43152
2016,Pengunjung,KPAK Jaktim (Stationary),17755
2016,Pengunjung,KPAK Jaktim (Pusling),46829
2016,Pengunjung,KPAK Jaktim (RPTRA),101456
2016,Pengunjung,KPAK Jakbar (Stationary),26211
2016,Pengunjung,KPAK Jakbar (Pusling),53413
2016,Pengunjung,KPAK Jakbar (RPTRA),142919
2016,Pengunjung,KPAK Jaksel (Stationary),25662
2016,Pengunjung,KPAK Jaksel (Pusling),25040
2016,Pengunjung,KPAK Jaksel (RPTRA),42385
2016,Pengunjung,KPAK Jakut (Stationary),43966
2016,Pengunjung,KPAK Jakut (Pusling),40712
2016,Pengunjung,KPAK Jakut (RPTRA),21298
2016,Pengunjung,KPAK Pulau 1000 (Stationary),48376
2016,Pengunjung,KPAK Pulau 1000 (RPTRA),6200
2016,Pengunjung,Permata 1,11161
2016,Pengunjung,Permata 2,10779
