"perpustakaan","tahun","jumlah"
"Cikini","2015",72758
"KPAK Jakbar (Pusling)","2015",0
"KPAK Jakbar (Stationary)","2015",28384
"KPAK Jakpus (Pusling)","2015",24717
"KPAK Jakpus (Stationary)","2015",15108
"KPAK Jaksel (Pusling)","2015",18690
"KPAK Jaksel (Stationary)","2015",18956
"KPAK Jaktim (Pusling)","2015",47509
"KPAK Jaktim (Stationary)","2015",13211
"KPAK Jakut (Pusling)","2015",20609
"KPAK Jakut (Stationary)","2015",18548
"KPAK Pulau 1000 (Stationary)","2015",8579
"Kuningan","2015",13529
"Permata 1","2015",7549
"Permata 2","2015",3819
"Cikini","2016",103341
"KPAK Jakbar (Pusling)","2016",53413
"KPAK Jakbar (RPTRA)","2016",142919
"KPAK Jakbar (Stationary)","2016",26211
"KPAK Jakpus (Pusling)","2016",64336
"KPAK Jakpus (RPTRA)","2016",43152
"KPAK Jakpus (Stationary)","2016",91807
"KPAK Jaksel (Pusling)","2016",25040
"KPAK Jaksel (RPTRA)","2016",42385
"KPAK Jaksel (Stationary)","2016",25662
"KPAK Jaktim (Pusling)","2016",46829
"KPAK Jaktim (RPTRA)","2016",101456
"KPAK Jaktim (Stationary)","2016",17755
"KPAK Jakut (Pusling)","2016",40712
"KPAK Jakut (RPTRA)","2016",21298
"KPAK Jakut (Stationary)","2016",43966
"KPAK Pulau 1000 (RPTRA)","2016",6200
"KPAK Pulau 1000 (Stationary)","2016",48376
"Kuningan","2016",68654
"Permata 1","2016",11161
"Permata 2","2016",10779
"Cikini","2017",83619
"KPAK Jakbar (Pusling)","2017",66570
"KPAK Jakbar (Stationary)","2017",32509
"KPAK Jakpus (Pusling)","2017",105747
"KPAK Jakpus (Stationary)","2017",20411
"KPAK Jaksel (Pusling)","2017",57755
"KPAK Jaksel (Stationary)","2017",28923
"KPAK Jaktim (Pusling)","2017",46985
"KPAK Jaktim (Stationary)","2017",2877
"KPAK Jakut (Pusling)","2017",77320
"KPAK Jakut (Stationary)","2017",22027
"KPAK Pulau 1000 (Stationary)","2017",58916
"Kuningan","2017",53821
"Permata 1","2017",18139
"Permata 2","2017",18223
"Cikini","2018",79114
"KPAK Jakbar (Pusling)","2018",237715
"KPAK Jakbar (RPTRA)","2018",511065
"KPAK Jakbar (Stationary)","2018",47328
"KPAK Jakpus (Pusling)","2018",154044
"KPAK Jakpus (RPTRA)","2018",219972
"KPAK Jakpus (Stationary)","2018",23719
"KPAK Jaksel (Pusling)","2018",683
"KPAK Jaksel (RPTRA)","2018",475141
"KPAK Jaksel (Stationary)","2018",28955
"KPAK Jaktim (Pusling)","2018",135195
"KPAK Jaktim (RPTRA)","2018",39194
"KPAK Jaktim (Stationary)","2018",22891
"KPAK Jakut (Pusling)","2018",109919
"KPAK Jakut (RPTRA)","2018",691603
"KPAK Jakut (Stationary)","2018",37791
"KPAK Pulau 1000 (RPTRA)","2018",136589
"KPAK Pulau 1000 (Stationary)","2018",65658
"Kuningan","2018",5447
"PDS HB Jassin","2018",2749
"Permata 1","2018",9778
"Permata 2","2018",10538
"Perpustakaan Digital iJakarta","2018",20736
"Cikini","2019",62895
"KPAK Jakbar (Pusling)","2019",234853
"KPAK Jakbar (RPTRA)","2019",461598
"KPAK Jakbar (Stationary)","2019",45374
"KPAK Jakpus (Pusling)","2019",196689
"KPAK Jakpus (RPTRA)","2019",357184
"KPAK Jakpus (Stationary)","2019",36767
"KPAK Jaksel (Pusling)","2019",165535
"KPAK Jaksel (RPTRA)","2019",459210
"KPAK Jaksel (Stationary)","2019",34063
"KPAK Jaktim (Pusling)","2019",279240
"KPAK Jaktim (RPTRA)","2019",363273
"KPAK Jaktim (Stationary)","2019",29159
"KPAK Jakut (Pusling)","2019",107136
"KPAK Jakut (RPTRA)","2019",534462
"KPAK Jakut (Stationary)","2019",32717
"KPAK Pulau 1000 (RPTRA)","2019",147097
"KPAK Pulau 1000 (Stationary)","2019",51743
"Kuningan","2019",45230
"PDS HB Jassin","2019",5319
"Permata 1","2019",6623
"Permata 2","2019",10524
"Perpustakaan Digital iJakarta","2019",21999
